Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
AIT,2025/Q1,"0,27","1,58","-0,05",,"0,81","0,52","-0,07",,"0,07","5,72","0,38","0,46","6,82","-5,73","-19,49%","-12,92%","-8,07%","-6,40%","-7,39%","-7,81%",,"-16,29%","1 506,98%",,"0,14","0,22",,,,,"0,44","0,43",146 000,"0,21",-571 000,"-0,83","0,98","0,98","0,80","0,91","2,28","0,80","0,72","0,18","0,10","16,64",22,34,"1 011,91",0,"5,77","2,66","1,82",,,2025-05-01
ALE,2025/Q1,"9,85","3,17","1,03","30,33","10,35","3,02","1,76","17,79","-3,62",,"33,69","3,25","12,30","19,17","10,47%","5,55%","16,98%","9,96%","21,38%","13,87%",,"9,46%","41,03%","47,60%","0,47","0,89","0,66","0,15","1,21","0,88","1,71","1,25",5 127 657 000,"1,77",2 563 028 000,"0,89","0,73","1,21","1,59","2,18","2,26","1,71","0,47","0,15","0,40","12,08",30,80,"38,73",9,"2,16","0,77","0,56",39,-41,2025-05-01
ALG,2025/Q1,"-0,09",,"0,00","425,13","0,03","36,40","-0,02",,"-0,26",,"1,16","38,93","-67,09","-48,91","-2,86%","0,82%","-79,59%","8,56%","-83,98%","-29,46%","99,65%","-7,66%","-10,67%",,"1,12","-3,89","-0,82","0,06","-0,07","-0,05","4,06","-1,62",26 272 000,"-20,09",5 697 000,"-4,36","-0,40","-0,07","0,00","0,31","0,31","0,00","0,31","-0,61","29,89","0,35",1 040,4 095,,,"0,35","0,13","0,10",,,2025-05-01
ALI,2025/Q1,"3,38","0,65","0,35","6,23","1,21","1,82","0,29","7,50","3,64","0,60","1,99","1,65","6,06","6,79","10,45%","8,24%","24,32%","29,26%","20,17%","39,93%",,"6,84%","183,50%","83,05%","0,11","0,14","0,02","1,37","19,41","0,80","0,11","2,16",-125 626 000,"-9,34",-8 543 000,"-0,64","19,04","19,41","0,66","10,24","10,24","8,81","1,36","0,87","4,00","2,17",168,139,,,"0,30","6,11","0,29",,,2025-05-01
ALL,2025/Q1,"8,10","2,86","1,78","13,04","48,06","0,48","5,43","4,26","-11,50",,"36,12","0,75","4,92","6,65","21,92%","3,62%","11,30%","3,69%","10,72%","9,47%","27,73%","11,07%","44,23%","96,52%","0,58","3,49","2,17","0,20","0,79","0,52","1,69","0,42",265 355 000,"2,93",160 282 000,"1,77","0,25","0,79","0,63","1,56","1,57","0,63","0,93","0,12","0,18","5,15",71,71,"1 241,08",0,"2,92","1,51","0,99",,,2025-05-01
ALR,2025/Q1,"90,72","1,32","17,95","6,67","64,09","1,87","23,53","5,09",,,,,,,"19,79%","2,43%","36,71%","28,01%",,,,"3,18%","66,21%","9,09%","0,88","7,16",,,,,,,57 197 611 000,"17,13",,,,,,,,,,,,"0,13",2 830,3 572,,,,,"0,09",,,2025-05-01
AMB,2025/Q3,"16,77","1,29","1,95","11,07","35,46","0,61","3,63","5,95","6,63","3,26","23,89","0,67","4,92","6,58","11,64%","6,23%","10,24%","5,51%","9,98%","9,37%","17,08%","11,59%","44,68%","86,97%","0,36","0,67","0,16","3,09","1,44","0,62","0,63","0,78",248 471 000,"2,03",57 735 000,"0,47","1,24","1,44","0,16","0,90","2,10","0,16","0,71","0,30","0,33","4,12",89,117,"2,78",131,"1,72","2,69","1,05",220,103,2025-11-01
AMC,2025/Q1,"133,02","0,50","0,44","151,62","323,09","0,21","7,72","8,59","27,30","2,43","82,99","0,26","5,32","10,76","0,33%","0,18%","2,39%","0,14%","1,59%","0,88%","26,71%","3,13%","14,66%","-845,71%","0,46","0,86","0,12","4,25","1,41","0,60","0,81","1,01",773 900 000,"6,39",129 800 000,"1,07","1,26","1,41","0,14","0,72","1,44","0,15","0,50","0,18","0,19","5,88",62,117,"3,19",114,"2,16","3,09","1,27",176,59,2025-05-01
ANR,2025/Q1,"11,97","1,99","-0,11",,"82,85","0,29","0,93","25,62","0,45","53,32","41,00","0,49","19,02","44,13","-0,92%","-0,23%","1,12%","-0,13%","1,78%","-0,09%",,"1,91%","-1,13%","75,84%","0,75","3,06","0,59","1,08","1,65","0,39","0,99","1,03",669 692 000,"16,37",326 388 000,"7,98","1,04","1,65","0,04","0,22","1,25","0,05","0,17","0,15","0,09","16,79",22,115,"3,03",121,"2,49","7,05","1,84",143,28,2025-05-01
AOL,2025/Q1,"4,21","5,46","1,84","12,48","10,55","2,18","2,17","10,62","3,26","7,06","22,73","2,15","8,43","10,49","43,75%","36,76%","20,53%","17,46%","20,40%","21,72%",,"43,21%","77,03%","85,91%","0,09","0,11",,,,,"0,12","0,39",-1 907 000,"-0,59",-328 000,"-0,10","3,23","3,23","0,73","7,42","8,27","4,55","1,85","0,65","0,41","11,79",31,33,"209,56",2,"2,74","7,74","2,03",33,0,2025-05-01
APA,2025/Q1,"-0,02",,"-0,18",,"0,37","3,90","-0,17",,"-0,03",,"1,45","3,89","-9,30","-8,33","1 010,17%","-96,60%","-46,73%","-49,30%","-48,30%","-49,21%",,"-91,57%","-764,10%",,"0,91","-9,51",,,,,"1,22","-0,45",556 000,"-1,10",-5 000,"0,01","-0,37","-0,37","0,01","-0,07","0,82","0,01","0,12","-0,17","-0,06","8,79",42,146,"4,19",87,"2,05","6,93","1,58",129,-17,2025-05-01
APC,2025/Q1,"-0,51",,"-0,03",,"0,00",,"-0,03",,"-0,52",,"0,73",,"-25,55","-25,55","5,54%","-13 000,00%",,,,,,"-13 000,00%","111,11%",,"2 347,00","-1,00",,,,,,,2 347 000,"-18,05",155 000,"-1,19","-2 346,00","-2 346,00",,,,,,"-2 347,00","-18,05",,,,,,,,,,,2025-05-01
APE,2025/Q1,"0,53","5,69","-1,11",,"3,38","0,89","-0,47",,"-0,91",,"3,75","1,11","-9,75","-7,91","-211,99%","-37,08%","-14,05%","-33,01%","-2,49%","-35,91%","29,69%","-15,78%","-770,47%","220,10%","0,83","4,72","0,57","3,45","0,58","0,28","1,58","0,58",68 297 000,"-6,30",21 416 000,"-1,98","0,37","0,58","0,02","0,32","0,72","0,03","0,25","-0,20","-0,27","5,24",70,213,"2,41",151,"1,76","2,30","1,00",221,8,2025-05-01
APL,2025/Q1,"2,58","0,43","0,15","7,43","3,28","0,34","0,21","5,18","2,51","0,44","0,98","0,30","4,13","4,56","5,78%","4,43%","6,53%","4,55%","5,94%","5,48%","35,98%","6,35%","-37,18%","-0,36%","0,23","0,30","0,10","0,30","32,05","0,84","0,24","6,85",2 106 000,"2,71",-437 000,"-0,56","29,02","31,88","0,26","1,64","6,31","0,26","1,41","0,82","1,33","5,50",66,63,"0,84",434,"0,98","38,68","0,96",500,437,2025-05-01
