Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem
LPP,2004,,136852.0,13644.0,0.0,116605.0,,472.0,894.0,5237.0,174605.0,131776.0,24547.0,15570.0,15492.0,2712.0,0.0,311457.0,190819.0,3407.0,0.0,151404.0,0.0,4441.0,36864.0,71654.0,0.0,0.0,2110.0,115067.0,6549.0,1130.0,311457.0
LPP,2005,,195431.0,14436.0,0.0,175138.0,,187.0,876.0,4794.0,239305.0,171566.0,37653.0,27482.0,27366.0,2604.0,0.0,434736.0,232450.0,3407.0,0.0,200368.0,0.0,15058.0,56134.0,126562.0,0.0,0.0,4058.0,186216.0,3520.0,1012.0,434736.0
LPP,2006,,217706.0,13478.0,0.0,193834.0,,250.0,903.0,9241.0,316485.0,230435.0,50471.0,32219.0,30549.0,3360.0,0.0,534191.0,271502.0,3407.0,0.0,232266.0,0.0,15544.0,117768.0,124139.0,0.0,0.0,4544.0,245708.0,3801.0,1437.0,534191.0
LPP,2007,,288043.0,12186.0,0.0,258334.0,,3589.0,910.0,13024.0,409112.0,289527.0,60809.0,55541.0,53432.0,3235.0,0.0,697155.0,405662.0,3407.0,0.0,274748.0,0.0,33358.0,166692.0,57017.0,0.0,0.0,5493.0,258135.0,34426.0,0.0,697155.0
LPP,2008,,766704.0,275081.0,183609.0,469077.0,,1773.0,719.0,20054.0,659504.0,462644.0,100895.0,90277.0,89831.0,5688.0,0.0,1426208.0,565235.0,3492.0,-48746.0,436384.0,0.0,322316.0,248192.0,246966.0,0.0,432.0,15860.0,538657.0,43067.0,0.0,1426208.0
LPP,2009,,739013.0,273880.0,183609.0,441137.0,,1057.0,719.0,22220.0,621610.0,322756.0,93426.0,198023.0,197482.0,7405.0,,1360623.0,684609.0,3501.0,-48749.0,620312.0,0.0,347725.0,225329.0,76472.0,5465.0,367.0,4726.0,328289.0,20656.0,0.0,1360623.0
LPP,2010,,709923.0,272157.0,183609.0,419805.0,,1062.0,231.0,16668.0,716446.0,424437.0,119246.0,166201.0,96470.0,6562.0,,1426369.0,733895.0,3501.0,-48754.0,655682.0,0.0,281231.0,312700.0,86637.0,3906.0,96.0,3523.0,411243.0,7904.0,0.0,1426369.0
LPP,2011,,744937.0,272632.0,183609.0,447725.0,,4549.0,883.0,19148.0,868931.0,594606.0,147651.0,116966.0,116966.0,9708.0,0.0,1613868.0,906494.0,3555.0,-48759.0,712258.0,2700.0,89356.0,377512.0,117749.0,86243.0,54.0,2879.0,615318.0,33760.0,0.0,1613868.0
LPP,2012,,909856.0,278716.0,183609.0,598502.0,,8680.0,847.0,23111.0,1022366.0,656070.0,195662.0,159522.0,159393.0,11112.0,0.0,1932222.0,1208510.0,3662.0,-48767.0,892019.0,2538.0,130980.0,477805.0,61048.0,0.0,42.0,5795.0,590194.0,51299.0,0.0,1932222.0
LPP,2013,,1231908.0,281248.0,183609.0,896804.0,,12928.0,10502.0,30426.0,1259662.0,805235.0,277518.0,161843.0,149356.0,15066.0,0.0,2491570.0,1493312.0,3662.0,-48784.0,1095426.0,3178.0,192331.0,547427.0,173591.0,0.0,84.0,7988.0,802749.0,81647.0,0.0,2491570.0
