Spółka,Rok,Data publikacji,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,EBITDA,Przychody odsetkowe,Koszty odsetkowe,Wynik z tytułu odsetek,Przychody prowizyjne,Koszty prowizyjne,Wynik z tytułu prowizji,Przychody z tytułu dywidend,Wynik handlowy i rewaluacja,Wynik na pozostałych instrumentach finansowych,Odpisy netto z tytułu utraty wartości kredytów,Ogólne koszty administracyjne,Wynik operacyjny,Udział w zyskach jednostek podporządkowanych
BANK-OCHRONY-SRODOWISKA,2010,,,,,,,9376.0,-12547.0,,,,,,,73369.0,0.0,63182.0,63182.0,99993.0,653705.0,409920.0,243785.0,145224.0,27837.0,117387.0,3176.0,46717.0,50703.0,-36925.0,-348303.0,73369.0,0.0
BANK-OCHRONY-SRODOWISKA,2011,,,,,,,8303.0,-9859.0,,,,,,,76891.0,0.0,62418.0,62418.0,108031.0,823941.0,553519.0,270422.0,144457.0,31296.0,113161.0,3726.0,74910.0,34814.0,-42598.0,-375988.0,76891.0,0.0
BANK-OCHRONY-SRODOWISKA,2012,,,,,,,6493.0,-13613.0,,,,,,,37928.0,0.0,33841.0,33841.0,73835.0,902545.0,616025.0,286520.0,130805.0,30216.0,100589.0,3746.0,32040.0,47085.0,-52313.0,-372619.0,37928.0,0.0
BANK-OCHRONY-SRODOWISKA,2013,,,,,,,16731.0,-16690.0,,,,,,,74661.0,0.0,65903.0,65903.0,120831.0,774227.0,496349.0,277878.0,140345.0,30398.0,109947.0,3829.0,68360.0,40744.0,-60193.0,-365945.0,74661.0,0.0
BANK-OCHRONY-SRODOWISKA,2014,,,,,,,14228.0,-20308.0,,,,,,,81961.0,0.0,65906.0,65906.0,131094.0,743435.0,456786.0,286649.0,136479.0,30255.0,106224.0,4541.0,78028.0,58011.0,-68202.0,-377210.0,81961.0,0.0
BANK-OCHRONY-SRODOWISKA,2015,,,,,,,21221.0,-18775.0,,,,,,,-56851.0,0.0,-51118.0,-51118.0,-4317.0,659912.0,398501.0,261411.0,143248.0,30523.0,112725.0,5279.0,52319.0,54188.0,-114138.0,-431081.0,-56851.0,0.0
BANK-OCHRONY-SRODOWISKA,2016,,,,,,,13155.0,-23858.0,,,,,,,-78912.0,0.0,-60148.0,-60148.0,-33497.0,694688.0,385461.0,309227.0,140145.0,30977.0,109168.0,5264.0,69980.0,27961.0,-208759.0,-381050.0,-78912.0,0.0
BANK-OCHRONY-SRODOWISKA,2017,,,,,,,17062.0,-23934.0,,,,,,,71708.0,0.0,46062.0,46062.0,113672.0,663541.0,279523.0,384018.0,144464.0,35409.0,109055.0,5735.0,65712.0,32597.0,-137832.0,-380705.0,71708.0,0.0
BANK-OCHRONY-SRODOWISKA,2018,,,,,,,23138.0,-21676.0,,,,,,,88527.0,0.0,63728.0,63728.0,128310.0,628304.0,244189.0,384115.0,135027.0,37133.0,97894.0,6069.0,27730.0,62590.0,-134090.0,-357243.0,88527.0,0.0
BANK-OCHRONY-SRODOWISKA,2019,,,,,,,27550.0,-38266.0,,,,,,,110188.0,0.0,71994.0,71994.0,165846.0,627590.0,207603.0,419987.0,132065.0,33692.0,98373.0,6434.0,16461.0,45539.0,-104536.0,-361354.0,110188.0,0.0
BANK-OCHRONY-SRODOWISKA,2020,,,,,,,20623.0,-28091.0,,,,,,,-285753.0,0.0,-306934.0,-306934.0,-232848.0,518582.0,147602.0,370980.0,171918.0,37328.0,134590.0,6262.0,26396.0,76662.0,-516814.0,-376361.0,-285753.0,0.0
BANK-OCHRONY-SRODOWISKA,2021,,,,,,,35083.0,-43798.0,,,,,,,79269.0,0.0,47456.0,47456.0,135112.0,432230.0,56145.0,376085.0,181742.0,39888.0,141854.0,6730.0,67633.0,26261.0,-134877.0,-395702.0,79269.0,0.0
BANK-OCHRONY-SRODOWISKA,2022,,,,,,,43218.0,-55697.0,,,,,,,194135.0,0.0,128244.0,128244.0,256868.0,1205878.0,447538.0,758340.0,167992.0,40424.0,127568.0,7188.0,22878.0,37009.0,-250301.0,-496068.0,194135.0,0.0
BANK-OCHRONY-SRODOWISKA,2023,,,,,,,65321.0,-76785.0,,,,,,,157032.0,0.0,78374.0,78374.0,230916.0,1598700.0,787719.0,810981.0,174690.0,43165.0,131525.0,8384.0,61759.0,8898.0,-334885.0,-518166.0,157032.0,0.0
BANK-OCHRONY-SRODOWISKA,2024,,,,,,,50939.0,-80670.0,,,,,,,148655.0,0.0,79656.0,79656.0,227946.0,1445054.0,610787.0,834267.0,171129.0,41676.0,129453.0,12384.0,52160.0,10247.0,-257756.0,-602369.0,148655.0,0.0
BANK-OCHRONY-SRODOWISKA,O4K,,,,,,,47998.0,-88032.0,,,,,,,90221.0,0.0,45615.0,45615.0,171499.0,1452324.0,618534.0,833790.0,172640.0,44365.0,128275.0,321.0,46756.0,10571.0,-270656.0,-618802.0,90221.0,0.0
BBI-DEVELOPMENT,2004,,1181.0,5131.0,0.0,0.0,-3950.0,-1665.0,0.0,-5615.0,0.0,0.0,0.0,-5615.0,0.0,-5615.0,0.0,-5615.0,-5615.0,-5614.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2005,,2777.0,3776.0,0.0,0.0,-999.0,1108.0,0.0,109.0,0.0,0.0,0.0,109.0,0.0,109.0,0.0,109.0,109.0,131.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2006,,3946.0,2084.0,0.0,0.0,1862.0,1230.0,57.0,3035.0,1128.0,0.0,0.0,4163.0,0.0,4163.0,2467.0,6764.0,6764.0,3093.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2007,,3853.0,5272.0,0.0,0.0,-1419.0,532.0,674.0,-1561.0,1283.0,141.0,0.0,-419.0,0.0,-419.0,0.0,-511.0,-621.0,-1375.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2008,,11317.0,10459.0,0.0,0.0,858.0,874.0,635.0,1097.0,1114.0,281.0,0.0,1930.0,0.0,1930.0,0.0,1260.0,1406.0,1332.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2009,,990.0,7677.0,0.0,0.0,-6687.0,1303.0,2486.0,-7870.0,120.0,485.0,0.0,-8235.0,0.0,-8235.0,0.0,-9010.0,-9060.0,-7707.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2010,,67131.0,16394.0,0.0,0.0,50737.0,3219.0,25605.0,28351.0,1006.0,5895.0,0.0,23462.0,0.0,23462.0,0.0,11962.0,11962.0,28505.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2011,,69639.0,42434.0,0.0,0.0,27205.0,320.0,3151.0,24374.0,992.0,3451.0,0.0,21915.0,0.0,21915.0,0.0,16316.0,15817.0,24601.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2012,,77758.0,67327.0,0.0,0.0,10431.0,233.0,590.0,10074.0,1338.0,5274.0,0.0,6138.0,0.0,6138.0,0.0,2207.0,2207.0,10456.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2013,,69618.0,64701.0,0.0,0.0,4917.0,173.0,3832.0,1258.0,477.0,5296.0,0.0,-3561.0,0.0,-3561.0,0.0,17336.0,17336.0,1840.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2014,,47287.0,36144.0,0.0,0.0,11143.0,73.0,8766.0,2450.0,215.0,16652.0,0.0,-13987.0,0.0,-13987.0,0.0,-13822.0,-13822.0,3105.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2015,,22136.0,7066.0,1934.0,10555.0,2581.0,151.0,2333.0,399.0,1967.0,5336.0,0.0,-2970.0,0.0,-2970.0,0.0,-3390.0,-3390.0,1066.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2016,,89513.0,70231.0,2337.0,9703.0,7242.0,124.0,5017.0,2349.0,279.0,5791.0,0.0,-3163.0,0.0,-3163.0,0.0,-5224.0,-5224.0,3050.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2017,,27008.0,15683.0,2048.0,10885.0,-1608.0,870.0,11284.0,-12022.0,717.0,7541.0,0.0,-18846.0,0.0,-18846.0,0.0,-19359.0,-19359.0,-11319.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2018,,10319.0,7869.0,1677.0,11177.0,-10404.0,10266.0,4919.0,-5057.0,843.0,10394.0,-3044.0,-17652.0,0.0,-17652.0,0.0,-17788.0,-17788.0,-4563.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2019,,20770.0,16637.0,1541.0,11374.0,-8782.0,6502.0,51779.0,-54059.0,12421.0,14175.0,-500.0,-56313.0,0.0,-56313.0,0.0,-58010.0,-58010.0,-53091.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2020,,84501.0,68706.0,1012.0,11837.0,2946.0,-249.0,823.0,1874.0,8286.0,6183.0,-26.0,3951.0,0.0,3951.0,0.0,3679.0,3679.0,2874.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2021,,20901.0,11866.0,211.0,10761.0,-1937.0,472.0,127.0,-1592.0,3356.0,7578.0,-209.0,-6023.0,0.0,-6023.0,0.0,-6421.0,-6421.0,-527.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2022,,16273.0,9052.0,102.0,11238.0,-4119.0,2757.0,653.0,-2015.0,3859.0,9388.0,-111.0,-7655.0,0.0,-7655.0,0.0,-9401.0,-9401.0,-2015.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2023,,24444.0,9180.0,102.0,11924.0,3238.0,65448.0,15737.0,52949.0,9432.0,10693.0,0.0,51688.0,0.0,51688.0,0.0,50922.0,50922.0,52949.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,2024,,13919.0,10107.0,57.0,9951.0,-6196.0,8373.0,1917.0,260.0,4268.0,8895.0,-141.0,-4508.0,0.0,-4508.0,0.0,-3370.0,-3370.0,260.0,,,,,,,,,,,,,
BBI-DEVELOPMENT,O4K,,17203.0,12260.0,84.0,9931.0,-5072.0,12770.0,1808.0,5890.0,4842.0,8877.0,-141.0,1714.0,0.0,1714.0,0.0,2618.0,2618.0,5890.0,,,,,,,,,,,,,
BBT,2015,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
BBT,2016,,14059.0,5168.0,0.0,1372.0,7519.0,6.0,55.0,7470.0,0.0,0.0,0.0,7470.0,0.0,7470.0,0.0,5945.0,5945.0,11308.0,,,,,,,,,,,,,
BBT,2017,,20464.0,7275.0,0.0,2116.0,11073.0,2.0,551.0,10524.0,0.0,0.0,0.0,10524.0,0.0,10524.0,0.0,8481.0,8481.0,15427.0,,,,,,,,,,,,,
BBT,2018,,37525.0,19753.0,0.0,7316.0,10456.0,504.0,428.0,10532.0,5.0,78.0,-46.0,10413.0,0.0,10413.0,0.0,8991.0,8991.0,14864.0,,,,,,,,,,,,,
BBT,2019,,49734.0,45108.0,0.0,9576.0,-4950.0,154.0,6176.0,-10972.0,92.0,236.0,-66.0,-11182.0,0.0,-11182.0,0.0,-9878.0,-9882.0,-4346.0,,,,,,,,,,,,,
BBT,2020,,140236.0,115307.0,0.0,9293.0,15636.0,349.0,6320.0,9665.0,8624.0,62.0,0.0,18227.0,0.0,18227.0,0.0,14585.0,12528.0,22284.0,,,,,,,,,,,,,
BBT,2021,,238995.0,208959.0,0.0,11147.0,18889.0,3662.0,196.0,22355.0,185.0,635.0,0.0,21905.0,0.0,21905.0,0.0,17764.0,13314.0,35016.0,,,,,,,,,,,,,
BBT,2022,,294040.0,267678.0,0.0,16329.0,10033.0,2647.0,1702.0,10978.0,272.0,2187.0,0.0,9063.0,0.0,9063.0,0.0,9237.0,13237.0,23481.0,,,,,,,,,,,,,
BBT,2023,,245536.0,218639.0,0.0,16872.0,10025.0,305.0,6404.0,3926.0,10563.0,180.0,0.0,14309.0,0.0,14309.0,0.0,9535.0,15811.0,15799.0,,,,,,,,,,,,,
BBT,2024,,224766.0,196337.0,0.0,15897.0,12532.0,12875.0,12591.0,12816.0,278.0,7133.0,668.0,6629.0,0.0,6629.0,0.0,4101.0,5032.0,29648.0,,,,,,,,,,,,,
BBT,O4K,,214672.0,188017.0,0.0,15122.0,11533.0,11890.0,13186.0,10237.0,265.0,7096.0,486.0,3892.0,0.0,3892.0,0.0,2005.0,3482.0,28218.0,,,,,,,,,,,,,
BCS,2018,,34.0,621.0,0.0,0.0,-587.0,593.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
BCS,2019,,7479.0,2017.0,0.0,0.0,5462.0,123.0,167.0,5418.0,23.0,50.0,0.0,5391.0,0.0,5391.0,0.0,5059.0,5059.0,5604.0,,,,,,,,,,,,,
BCS,2020,,11433.0,2765.0,0.0,0.0,8668.0,87.0,37.0,8718.0,14.0,4.0,0.0,8728.0,0.0,8728.0,0.0,8230.0,8230.0,8720.0,,,,,,,,,,,,,
BCS,2021,,18577.0,4475.0,0.0,0.0,14102.0,0.0,1161.0,12941.0,209.0,28.0,0.0,13122.0,0.0,13122.0,0.0,12409.0,12409.0,13034.0,,,,,,,,,,,,,
BCS,2022,,25782.0,6901.0,0.0,0.0,18881.0,0.0,1873.0,17008.0,787.0,114.0,0.0,17681.0,0.0,17681.0,0.0,16736.0,16736.0,17366.0,,,,,,,,,,,,,
BCS,2023,,16628.0,11145.0,0.0,0.0,5483.0,3.0,2701.0,2785.0,140.0,884.0,0.0,2041.0,0.0,2041.0,0.0,2375.0,2375.0,3272.0,,,,,,,,,,,,,
BCS,2024,,15436.0,8194.0,0.0,0.0,7242.0,30.0,183.0,7089.0,292.0,94.0,0.0,7287.0,0.0,7287.0,0.0,6859.0,6859.0,7521.0,,,,,,,,,,,,,
BCS,O4K,,12910.0,8466.0,0.0,0.0,4444.0,35.0,136.0,4343.0,245.0,334.0,0.0,4254.0,0.0,4254.0,0.0,3935.0,3935.0,4757.0,,,,,,,,,,,,,
BCX,2019,,2.0,3778.0,0.0,0.0,-3776.0,2201.0,0.0,-1575.0,0.0,21.0,0.0,-1596.0,0.0,-1596.0,0.0,-1596.0,-1596.0,-1527.0,,,,,,,,,,,,,
BCX,2020,,11.0,4069.0,0.0,0.0,-4058.0,1614.0,4.0,-2448.0,30.0,13.0,0.0,-2431.0,0.0,-2431.0,0.0,-2431.0,-2431.0,-2359.0,,,,,,,,,,,,,
BCX,2021,,0.0,6214.0,0.0,0.0,-6214.0,1887.0,12.0,-4339.0,7.0,24.0,0.0,-4356.0,0.0,-4356.0,0.0,-4398.0,-4398.0,-3962.0,,,,,,,,,,,,,
BCX,2022,,0.0,9673.0,0.0,0.0,-9673.0,843.0,70.0,-8900.0,0.0,67.0,0.0,-8967.0,0.0,-8967.0,0.0,-8921.0,-8921.0,-8455.0,,,,,,,,,,,,,
BCX,2023,,0.0,15820.0,0.0,0.0,-15820.0,1821.0,16.0,-14015.0,356.0,34.0,0.0,-13693.0,0.0,-13693.0,0.0,-13688.0,-13688.0,-13580.0,,,,,,,,,,,,,
BCX,2024,,0.0,18830.0,0.0,0.0,-18830.0,3811.0,15.0,-15034.0,421.0,254.0,0.0,-14867.0,0.0,-14867.0,0.0,-14898.0,-14898.0,-14460.0,,,,,,,,,,,,,
BCX,O4K,,0.0,18827.0,0.0,0.0,-18827.0,4272.0,97.0,-14652.0,488.0,289.0,0.0,-14453.0,0.0,-14453.0,0.0,-14487.0,-14487.0,-14004.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2007,,6453.0,4321.0,354.0,1089.0,689.0,18.0,3.0,704.0,6.0,0.0,0.0,710.0,0.0,710.0,0.0,549.0,549.0,795.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2008,,26363.0,18180.0,870.0,2632.0,4681.0,3.0,58.0,4626.0,74.0,2.0,0.0,4698.0,0.0,4698.0,0.0,3773.0,3773.0,4837.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2009,,94482.0,79516.0,2483.0,6158.0,6325.0,17.0,66.0,6276.0,122.0,1.0,0.0,6397.0,0.0,6397.0,0.0,5167.0,5167.0,6814.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2010,,165045.0,127499.0,5213.0,10066.0,22267.0,132.0,1557.0,20842.0,203.0,346.0,0.0,20699.0,0.0,20699.0,0.0,16502.0,16506.0,21466.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2011,,244955.0,189355.0,12921.0,11721.0,30958.0,418.0,1099.0,30277.0,1884.0,313.0,0.0,31848.0,0.0,31848.0,0.0,37302.0,37303.0,32119.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2012,,320003.0,245797.0,21632.0,17916.0,34658.0,2660.0,1217.0,36101.0,3610.0,917.0,-366.0,38428.0,0.0,38428.0,0.0,29115.0,29392.0,39908.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2013,,383390.0,298693.0,22531.0,30044.0,32122.0,3014.0,2067.0,33069.0,4303.0,1138.0,-2140.0,34094.0,0.0,34094.0,0.0,26734.0,26247.0,37777.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2014,,452340.0,345404.0,24491.0,32673.0,49772.0,1207.0,1193.0,49786.0,5161.0,1671.0,-3629.0,49647.0,0.0,49647.0,0.0,38547.0,38563.0,53468.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2015,,581456.0,431291.0,35269.0,51261.0,63635.0,2863.0,11598.0,54900.0,3726.0,4034.0,8332.0,62924.0,0.0,62924.0,0.0,48659.0,49092.0,70442.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2016,,741972.0,536590.0,42065.0,65673.0,97644.0,8875.0,11172.0,95347.0,3001.0,6605.0,9536.0,101279.0,0.0,101279.0,0.0,77840.0,82766.0,118784.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2017,,964786.0,699127.0,57747.0,87944.0,119968.0,9085.0,7642.0,121411.0,3915.0,12101.0,3066.0,116291.0,0.0,116291.0,0.0,86708.0,88103.0,155529.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2018,,1219571.0,881553.0,84625.0,120490.0,132903.0,28214.0,7562.0,153555.0,21663.0,13781.0,-4015.0,157422.0,0.0,157422.0,0.0,116190.0,114645.0,197917.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2019,,1527391.0,1119223.0,104457.0,141613.0,162098.0,3085.0,9722.0,155461.0,20229.0,34534.0,1816.0,142972.0,0.0,142972.0,0.0,107022.0,105334.0,357942.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2020,,1033736.0,815215.0,80055.0,112383.0,26083.0,18281.0,47751.0,-3387.0,9928.0,63815.0,-33358.0,-90632.0,0.0,-90632.0,0.0,-98692.0,-100034.0,207836.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2021,,954938.0,774038.0,81889.0,121772.0,-22761.0,32506.0,13755.0,-4010.0,14782.0,21955.0,-5957.0,-17140.0,0.0,-17140.0,0.0,-23855.0,-25140.0,205088.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2022,,1909120.0,1392035.0,134398.0,156468.0,226219.0,7787.0,21255.0,212751.0,2860.0,35391.0,-3648.0,176572.0,0.0,176572.0,0.0,139077.0,138124.0,444827.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2023,,2774145.0,1843366.0,168177.0,210870.0,551732.0,9208.0,20841.0,540099.0,47448.0,38626.0,4488.0,553409.0,0.0,553409.0,0.0,444873.0,439645.0,827573.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,2024,,3397270.0,2188413.0,211311.0,358946.0,638600.0,14711.0,25042.0,628269.0,18754.0,54496.0,7795.0,600322.0,0.0,600322.0,0.0,454659.0,449630.0,981270.0,,,,,,,,,,,,,
BENEFIT-SYSTEMS,O4K,,3548155.0,2289245.0,230105.0,408345.0,620460.0,12392.0,27103.0,605749.0,14513.0,64524.0,10002.0,565740.0,0.0,565740.0,0.0,418201.0,414211.0,976274.0,,,,,,,,,,,,,
BEST,2004,,9369.0,4534.0,0.0,0.0,4835.0,207.0,112.0,4930.0,0.0,212.0,0.0,4718.0,0.0,4718.0,0.0,4743.0,4743.0,5131.0,,,,,,,,,,,,,
BEST,2005,,11132.0,6355.0,0.0,0.0,4777.0,1570.0,285.0,6062.0,41.0,80.0,0.0,6023.0,0.0,6023.0,0.0,6253.0,6253.0,6504.0,,,,,,,,,,,,,
BEST,2006,,15167.0,11069.0,0.0,0.0,4098.0,60.0,128.0,4030.0,126.0,35.0,0.0,4121.0,0.0,4121.0,0.0,4007.0,4007.0,4901.0,,,,,,,,,,,,,
BEST,2007,,21174.0,18101.0,0.0,0.0,3073.0,1517.0,1360.0,3230.0,70.0,201.0,0.0,3099.0,0.0,3099.0,0.0,2370.0,2370.0,5047.0,,,,,,,,,,,,,
BEST,2008,,26575.0,21862.0,0.0,0.0,4713.0,779.0,323.0,5169.0,381.0,180.0,0.0,5370.0,0.0,5370.0,0.0,4308.0,4308.0,7005.0,,,,,,,,,,,,,
BEST,2009,,24162.0,26649.0,0.0,0.0,-2487.0,446.0,142.0,-2183.0,100.0,357.0,0.0,-2440.0,0.0,-2440.0,0.0,-2225.0,-2225.0,-326.0,,,,,,,,,,,,,
BEST,2010,,22462.0,21487.0,0.0,0.0,975.0,447.0,168.0,1254.0,1249.0,6.0,0.0,2497.0,0.0,2497.0,0.0,1996.0,1996.0,3067.0,,,,,,,,,,,,,
BEST,2011,,55150.0,22744.0,0.0,0.0,32406.0,552.0,966.0,31992.0,162.0,3255.0,0.0,28899.0,0.0,28899.0,0.0,23438.0,23068.0,33784.0,,,,,,,,,,,,,
BEST,2012,,77045.0,37619.0,0.0,0.0,39426.0,229.0,3044.0,36611.0,352.0,5411.0,0.0,31552.0,0.0,31552.0,0.0,26889.0,26209.0,38409.0,,,,,,,,,,,,,
BEST,2013,,131398.0,51916.0,0.0,0.0,79482.0,1133.0,352.0,80263.0,787.0,7357.0,0.0,73693.0,0.0,73693.0,0.0,70594.0,69747.0,82105.0,,,,,,,,,,,,,
BEST,2014,,124006.0,55910.0,0.0,0.0,68096.0,455.0,624.0,67927.0,1228.0,9720.0,0.0,59435.0,0.0,59435.0,0.0,29207.0,58884.0,70614.0,,,,,,,,,,,,,
BEST,2015,,140908.0,52514.0,0.0,0.0,88394.0,238.0,391.0,88241.0,579.0,17500.0,0.0,71320.0,0.0,71320.0,0.0,82176.0,81809.0,91361.0,,,,,,,,,,,,,
BEST,2016,,210278.0,72511.0,0.0,0.0,137767.0,0.0,4185.0,133582.0,798.0,94612.0,0.0,39768.0,0.0,39768.0,0.0,38726.0,38200.0,137688.0,,,,,,,,,,,,,
BEST,2017,,198573.0,104310.0,0.0,0.0,94263.0,0.0,2907.0,91356.0,676.0,35972.0,0.0,56060.0,0.0,56060.0,0.0,55052.0,54552.0,96595.0,,,,,,,,,,,,,
BEST,2018,,190150.0,112865.0,0.0,0.0,77285.0,0.0,2226.0,75059.0,2075.0,41502.0,0.0,35632.0,0.0,35632.0,0.0,34942.0,32072.0,80912.0,,,,,,,,,,,,,
BEST,2019,,222168.0,134095.0,0.0,0.0,88073.0,0.0,3373.0,84700.0,449.0,37006.0,0.0,48143.0,0.0,48143.0,0.0,43383.0,20292.0,92917.0,,,,,,,,,,,,,
BEST,2020,,295142.0,158904.0,0.0,0.0,136238.0,-45538.0,3402.0,87298.0,3541.0,48462.0,0.0,42377.0,0.0,42377.0,0.0,34773.0,34329.0,95451.0,,,,,,,,,,,,,
BEST,2021,,339066.0,240397.0,0.0,0.0,98669.0,0.0,0.0,98669.0,6.0,43959.0,0.0,54716.0,0.0,54716.0,0.0,28041.0,27371.0,107259.0,,,,,,,,,,,,,
BEST,2022,,453604.0,229388.0,0.0,0.0,224216.0,0.0,0.0,224216.0,2761.0,71541.0,0.0,155436.0,0.0,155436.0,0.0,142994.0,142275.0,233207.0,,,,,,,,,,,,,
BEST,2023,,353833.0,219018.0,0.0,0.0,134815.0,0.0,0.0,134815.0,4109.0,72436.0,-5485.0,61003.0,0.0,61003.0,0.0,51075.0,50391.0,143947.0,,,,,,,,,,,,,
BEST,2024,,404568.0,229946.0,0.0,0.0,174622.0,0.0,0.0,174622.0,3124.0,76749.0,1419.0,102416.0,0.0,102416.0,0.0,103269.0,102729.0,184632.0,,,,,,,,,,,,,
BEST,O4K,,404615.0,235838.0,0.0,0.0,168777.0,0.0,0.0,168777.0,3249.0,84566.0,523.0,87983.0,0.0,87983.0,0.0,88429.0,87403.0,179117.0,,,,,,,,,,,,,
BETACOM,2004,,88799.0,78767.0,5068.0,2269.0,2695.0,1498.0,839.0,3354.0,623.0,509.0,0.0,3468.0,0.0,3468.0,0.0,2959.0,2959.0,4236.0,,,,,,,,,,,,,
BETACOM,2005,,116089.0,104827.0,7583.0,3148.0,531.0,1235.0,304.0,1462.0,354.0,356.0,0.0,1460.0,0.0,1460.0,0.0,1104.0,1104.0,2811.0,,,,,,,,,,,,,
BETACOM,2006,,85040.0,72523.0,7680.0,3245.0,1592.0,705.0,260.0,2037.0,262.0,386.0,0.0,1913.0,0.0,1913.0,0.0,1499.0,1499.0,4046.0,,,,,,,,,,,,,
BETACOM,2007,,143873.0,129018.0,8782.0,3634.0,2439.0,1036.0,259.0,3216.0,196.0,409.0,0.0,3003.0,0.0,3003.0,0.0,2313.0,2313.0,5782.0,,,,,,,,,,,,,
BETACOM,2008,,160695.0,145952.0,9091.0,4442.0,1210.0,225.0,87.0,1348.0,256.0,622.0,0.0,982.0,0.0,982.0,0.0,543.0,543.0,4059.0,,,,,,,,,,,,,
BETACOM,2009,,69435.0,59253.0,8523.0,4218.0,-2559.0,270.0,147.0,-2436.0,137.0,1147.0,0.0,-3446.0,0.0,-3446.0,0.0,-2958.0,-2958.0,434.0,,,,,,,,,,,,,
BETACOM,2010,,94881.0,85999.0,7779.0,4422.0,-3319.0,315.0,96.0,-3100.0,215.0,527.0,0.0,-3412.0,0.0,-3412.0,0.0,-2769.0,-2769.0,-404.0,,,,,,,,,,,,,
BETACOM,2011,,81312.0,68724.0,6663.0,3702.0,2223.0,276.0,85.0,2414.0,244.0,575.0,0.0,2083.0,0.0,2083.0,0.0,1625.0,1625.0,4550.0,,,,,,,,,,,,,
BETACOM,2012,,78171.0,65445.0,5918.0,4590.0,2218.0,176.0,266.0,2128.0,295.0,232.0,0.0,2191.0,0.0,2191.0,0.0,1704.0,1704.0,4381.0,,,,,,,,,,,,,
BETACOM,2013,,107920.0,94357.0,6400.0,4608.0,2555.0,241.0,23.0,2773.0,489.0,262.0,0.0,3000.0,0.0,3000.0,0.0,2390.0,2390.0,4998.0,,,,,,,,,,,,,
BETACOM,2014,,93811.0,82726.0,5835.0,3714.0,1536.0,505.0,116.0,1925.0,415.0,187.0,0.0,2153.0,0.0,2153.0,0.0,1703.0,1703.0,4145.0,,,,,,,,,,,,,
BETACOM,2015,,105131.0,93142.0,5863.0,3939.0,2187.0,134.0,137.0,2184.0,350.0,210.0,0.0,2324.0,0.0,2324.0,0.0,1823.0,1823.0,4418.0,,,,,,,,,,,,,
BETACOM,2016,,123557.0,110177.0,9061.0,3790.0,529.0,146.0,79.0,596.0,252.0,253.0,0.0,595.0,0.0,595.0,0.0,427.0,427.0,2680.0,,,,,,,,,,,,,
BETACOM,2017,,157810.0,140096.0,9242.0,5242.0,3230.0,163.0,139.0,3254.0,201.0,239.0,0.0,3216.0,0.0,3216.0,0.0,2557.0,2557.0,4730.0,,,,,,,,,,,,,
