Spółka,Rok,Przychody ze sprzedaży,Zysk netto,Zysk operacyjny (EBIT),EBITDA,Aktywa trwałe,Aktywa obrotowe,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Przepływy pieniężne z działalności inwestycyjnej,Przepływy pieniężne razem,Lata raportu
06N,2004,167714.0,12695.0,14756.0,18135.0,110071.0,190552.0,300623.0,204533.0,0.0,66891.0,300623.0,30735.0,15219.0,26450.0,20
06N,2005,7788.0,2315.0,-890.0,-815.0,103523.0,209064.0,312587.0,208041.0,0.0,74191.0,312587.0,44300.0,-1347.0,35055.0,19
06N,2006,5900.0,26742.0,-7316.0,-7282.0,31.0,189982.0,190013.0,92357.0,0.0,70858.0,190013.0,27635.0,42089.0,-62585.0,18
06N,2007,8313.0,-9512.0,2436.0,2449.0,16.0,45072.0,45088.0,8127.0,0.0,36961.0,45088.0,12495.0,30428.0,-54163.0,17
06N,2008,176739.0,8608.0,9818.0,16492.0,35019.0,64126.0,99145.0,38644.0,4308.0,56193.0,99145.0,15682.0,-8476.0,4976.0,16
06N,2009,191118.0,1845.0,5699.0,16929.0,95492.0,53090.0,148582.0,49109.0,31008.0,42541.0,148582.0,6515.0,-33941.0,-3888.0,15
06N,2010,99936.0,-39698.0,-36802.0,-26373.0,78922.0,23043.0,101965.0,21789.0,9299.0,57690.0,101965.0,-5417.0,9432.0,-1559.0,14
06N,2011,72733.0,-5533.0,-405.0,5995.0,52441.0,53890.0,106331.0,16778.0,10116.0,66584.0,106331.0,6499.0,-16991.0,2408.0,13
06N,2012,55468.0,936.0,-1714.0,4397.0,12549.0,93652.0,106201.0,5745.0,595.0,96754.0,106201.0,3312.0,-40439.0,-2792.0,12
06N,2013,0.0,-8044.0,-7169.0,-3921.0,18704.0,56183.0,74887.0,71825.0,632.0,2430.0,74887.0,-626.0,9494.0,46.0,11
06N,2014,2543.0,-19796.0,-3926.0,-3143.0,25463.0,31218.0,56681.0,51439.0,2102.0,3140.0,56681.0,-3860.0,2677.0,-1057.0,10
06N,2016,3142.0,-27026.0,-4457.0,-3803.0,13275.0,15376.0,28651.0,23251.0,2000.0,3400.0,28651.0,-573.0,784.0,45.0,8
06N,2017,2350.0,1669.0,-1580.0,-882.0,25898.0,7597.0,33495.0,25388.0,2020.0,5762.0,33495.0,-1783.0,1976.0,160.0,7
06N,2018,6445.0,-4880.0,-1314.0,-123.0,20377.0,8268.0,28645.0,19500.0,2022.0,6663.0,28645.0,-1286.0,-577.0,172.0,6
06N,2019,5145.0,1999.0,1198.0,1800.0,25830.0,3659.0,29489.0,20827.0,2325.0,5205.0,29489.0,-1148.0,-476.0,340.0,5
06N,2020,7774.0,4891.0,6268.0,7143.0,20717.0,12476.0,33193.0,24992.0,2217.0,3785.0,33193.0,3234.0,-2647.0,1704.0,4
06N,2021,5943.0,1929.0,1348.0,2212.0,21701.0,15904.0,37605.0,28327.0,227.0,5930.0,37605.0,-1921.0,-375.0,-1014.0,3
06N,2022,6284.0,-634.0,-2435.0,-1611.0,17359.0,16073.0,33432.0,25099.0,197.0,5041.0,33432.0,-1349.0,1329.0,719.0,2
06N,2023,7103.0,68445.0,81322.0,82240.0,22231.0,78036.0,100267.0,93625.0,760.0,2868.0,100267.0,66184.0,-42628.0,22605.0,1
06N,2024,19152.0,5078.0,715.0,4587.0,44424.0,64824.0,109248.0,97409.0,701.0,6783.0,109248.0,-31.0,-17808.0,-18463.0,0
11-BIT-STUDIOS,2009,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,15
11-BIT-STUDIOS,2010,474.0,-231.0,-284.0,-223.0,56.0,1296.0,1352.0,1268.0,0.0,63.0,1352.0,-705.0,-63.0,631.0,14
11-BIT-STUDIOS,2011,3055.0,1293.0,1459.0,1516.0,87.0,2899.0,2986.0,2561.0,0.0,306.0,2986.0,351.0,-73.0,567.0,13
11-BIT-STUDIOS,2012,4795.0,1345.0,1795.0,1913.0,96.0,7241.0,7337.0,6914.0,0.0,238.0,7337.0,-713.0,-129.0,2166.0,12
11-BIT-STUDIOS,2013,5709.0,1008.0,1394.0,1590.0,590.0,8123.0,8713.0,7922.0,0.0,284.0,8713.0,838.0,-648.0,276.0,11
11-BIT-STUDIOS,2014,17679.0,9236.0,11245.0,11532.0,1745.0,19770.0,21515.0,17005.0,0.0,2128.0,21515.0,3791.0,-1131.0,3903.0,10
11-BIT-STUDIOS,2015,23170.0,11566.0,13762.0,16231.0,7068.0,25750.0,32818.0,28676.0,571.0,3571.0,32818.0,18679.0,-2891.0,16116.0,9
11-BIT-STUDIOS,2016,27016.0,12929.0,14134.0,16703.0,9490.0,36159.0,45649.0,42126.0,444.0,3079.0,45649.0,12661.0,-5408.0,6657.0,8
11-BIT-STUDIOS,2017,19186.0,3558.0,7524.0,9238.0,17174.0,31476.0,48650.0,46223.0,763.0,1664.0,48650.0,8794.0,-10034.0,-211.0,7
11-BIT-STUDIOS,2018,82114.0,37550.0,46949.0,51442.0,41317.0,67946.0,109263.0,89912.0,12018.0,7333.0,109263.0,39046.0,-55572.0,-3926.0,6
11-BIT-STUDIOS,2019,71221.0,21710.0,23871.0,30295.0,49815.0,105853.0,155668.0,119740.0,11262.0,24666.0,155668.0,41643.0,-49342.0,-9368.0,5
11-BIT-STUDIOS,2020,87102.0,37363.0,40792.0,51057.0,70398.0,115942.0,186340.0,164648.0,10469.0,11223.0,186340.0,37665.0,-34425.0,9252.0,4
11-BIT-STUDIOS,2021,70123.0,28686.0,30031.0,38951.0,90680.0,128833.0,219513.0,197337.0,8951.0,13225.0,219513.0,40942.0,-37401.0,2613.0,3
11-BIT-STUDIOS,2022,74206.0,22890.0,19983.0,25874.0,142547.0,101650.0,244197.0,224544.0,9457.0,10196.0,244197.0,32932.0,-28841.0,3838.0,2
11-BIT-STUDIOS,2023,52273.0,527.0,7592.0,11764.0,191393.0,66935.0,258328.0,227065.0,6559.0,24704.0,258328.0,21899.0,-16207.0,8020.0,1
11-BIT-STUDIOS,2024,140545.0,6889.0,-2838.0,16975.0,169651.0,92652.0,262303.0,229919.0,4553.0,27831.0,262303.0,76887.0,-45367.0,29731.0,0
3RG,2008,2395.0,333.0,371.0,484.0,1030.0,292.0,1322.0,924.0,0.0,398.0,1322.0,1043.0,-824.0,219.0,16
3RG,2009,3403.0,912.0,1120.0,1352.0,2555.0,546.0,3101.0,2530.0,138.0,419.0,3101.0,1043.0,-1046.0,-6.0,15
3RG,2010,5482.0,1526.0,1932.0,2439.0,3846.0,1094.0,4940.0,4062.0,208.0,663.0,4940.0,1966.0,-1348.0,503.0,14
3RG,2011,8139.0,2095.0,2600.0,3475.0,6064.0,1841.0,7905.0,6568.0,130.0,1189.0,7905.0,2312.0,-2577.0,-418.0,13
3RG,2012,10539.0,-7728.0,-8446.0,-6965.0,2713.0,17307.0,20020.0,17212.0,341.0,2441.0,20020.0,4136.0,-6021.0,16225.0,12
3RG,2013,11924.0,-205.0,-528.0,169.0,6951.0,12207.0,19158.0,16581.0,352.0,2225.0,19158.0,-77.0,-4607.0,-5319.0,11
3RG,2014,10941.0,-1393.0,-1773.0,-900.0,12524.0,4882.0,17406.0,15129.0,96.0,2181.0,17406.0,-668.0,-6221.0,-7195.0,10
3RG,2015,14146.0,-9133.0,-9138.0,-8183.0,11408.0,6598.0,18006.0,14966.0,0.0,2991.0,18006.0,-2444.0,2434.0,-223.0,9
3RG,2016,21782.0,444.0,367.0,901.0,14521.0,7216.0,21737.0,16066.0,0.0,5496.0,21737.0,-2158.0,-1386.0,-2429.0,8
3RG,2017,18268.0,-12327.0,-9642.0,-7765.0,8660.0,3182.0,11842.0,5456.0,0.0,6272.0,11842.0,-3477.0,-102.0,-1020.0,7
3RG,2018,8549.0,-9851.0,-9713.0,-9347.0,2668.0,2057.0,4725.0,1490.0,0.0,3228.0,4725.0,-4380.0,1800.0,-188.0,6
3RG,2019,9654.0,-6228.0,-5895.0,-5297.0,2036.0,7023.0,9059.0,-4636.0,359.0,13432.0,9059.0,-8808.0,14.0,796.0,5
3RG,2020,137.0,-5389.0,-1197.0,-1025.0,15681.0,1172.0,16853.0,14844.0,721.0,1288.0,16853.0,-3809.0,389.0,109.0,4
3RG,2021,1143.0,-914.0,-981.0,-953.0,15602.0,1594.0,17196.0,13930.0,2797.0,469.0,17196.0,-2224.0,8.0,-782.0,3
3RG,2022,2946.0,803.0,921.0,921.0,15602.0,1283.0,16885.0,15788.0,0.0,1097.0,16885.0,1634.0,0.0,791.0,2
3RG,2023,5000.0,613.0,600.0,600.0,15602.0,2748.0,18350.0,17960.0,0.0,390.0,18350.0,908.0,0.0,152.0,1
3RG,2024,2891.0,-626.0,-655.0,-655.0,15602.0,2804.0,18406.0,18028.0,0.0,378.0,18406.0,-332.0,0.0,28.0,0
4MS,2016,1140.0,-275.0,-276.0,-260.0,8.0,1588.0,1596.0,120.0,0.0,1476.0,1596.0,0.0,0.0,0.0,8
4MS,2017,5143.0,440.0,573.0,595.0,98.0,3687.0,3785.0,2874.0,0.0,907.0,3785.0,-1936.0,-112.0,-34.0,7
4MS,2018,13228.0,545.0,789.0,836.0,776.0,7784.0,8560.0,4235.0,0.0,4325.0,8560.0,-1793.0,-340.0,-68.0,6
4MS,2019,12476.0,-942.0,-825.0,-566.0,3866.0,10634.0,14500.0,8199.0,1243.0,5046.0,14500.0,-4015.0,-454.0,9.0,5
4MS,2020,26876.0,1178.0,1548.0,2183.0,7225.0,15877.0,23102.0,12497.0,4295.0,5393.0,23102.0,-3780.0,-3018.0,1317.0,4
4MS,2021,36892.0,2011.0,2825.0,3806.0,18723.0,18430.0,37153.0,25124.0,8378.0,3043.0,37153.0,2020.0,-13074.0,1258.0,3
