Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Gotówka i operacje z bankami centralnymi,Należności od banków,Aktywa finansowe przeznaczone do obrotu,Pochodne instrumenty zabezpieczające,Należności od klientów,Inwestycyjne aktywa finansowe,Inwestycje w podmioty stowarzyszone,Wartości niematerialne,Rzeczowy majątek trwały,Aktywa z tytułu odroczonego podatku dochodowego netto,Pozostałe aktywa,Zobowiązania wobec banku centralnego,Zobowiązania wobec banków,Zobowiązania finansowe przeznaczone do obrotu,Zobowiązania wobec klientów,Zobowiązania z tytułu emisji dłużnych pap. wart.,Zobowiązania podporządkowane,Zobowiązania z tytułu bieżącego podatku dochodowego,Pozostałe pasywa,Zobowiązania razem,Kapitały własne,Kapitał akcyjny,Pozostałe kapitały,Kapitał z aktualizacji wyceny,Zyski zatrzymane,Wynik roku bieżącego,Kapitały razem
06N,2018,,20377.0,2711.0,387.0,2072.0,,0.0,12957.0,2637.0,8268.0,8.0,1189.0,7071.0,415.0,0.0,0.0,28645.0,19500.0,13922.0,-468.0,20056.0,460.0,2022.0,1988.0,399.0,845.0,269.0,22.0,6663.0,3162.0,0.0,28645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2019,,25830.0,2892.0,387.0,893.0,540.0,104.0,19394.0,2547.0,3659.0,6.0,1595.0,2058.0,755.0,0.0,0.0,29489.0,20827.0,13922.0,-468.0,20056.0,1132.0,2325.0,3236.0,0.0,0.0,414.0,30.0,5205.0,1555.0,0.0,29489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2020,,20717.0,2355.0,387.0,572.0,286.0,444.0,15711.0,1635.0,12476.0,0.0,2300.0,10176.0,2459.0,0.0,0.0,33193.0,24992.0,13922.0,-468.0,20056.0,2199.0,2217.0,1797.0,0.0,0.0,352.0,19.0,3785.0,1636.0,0.0,33193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2021,,21701.0,1818.0,387.0,751.0,536.0,245.0,17478.0,1409.0,15904.0,20.0,5742.0,10142.0,1441.0,0.0,0.0,37605.0,28327.0,13922.0,-468.0,20056.0,3121.0,227.0,1670.0,0.0,0.0,2738.0,22.0,5930.0,1522.0,0.0,37605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2022,,17359.0,1754.0,387.0,593.0,436.0,48.0,12522.0,2442.0,16073.0,0.0,5495.0,10578.0,2165.0,0.0,0.0,33432.0,25099.0,13922.0,-468.0,20056.0,3095.0,197.0,2007.0,0.0,0.0,1196.0,26.0,5041.0,1838.0,0.0,33432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2023,,22231.0,1880.0,387.0,1362.0,1253.0,0.0,16376.0,2613.0,78036.0,0.0,3939.0,74097.0,25092.0,0.0,0.0,100267.0,93625.0,13922.0,-468.0,20056.0,3014.0,760.0,1097.0,0.0,0.0,517.0,30.0,2868.0,1254.0,0.0,100267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2024,,44424.0,15846.0,387.0,1526.0,1345.0,0.0,25230.0,1822.0,64824.0,107.0,6527.0,58190.0,6308.0,0.0,0.0,109248.0,97409.0,13922.0,-468.0,20056.0,4355.0,701.0,3166.0,0.0,0.0,845.0,36.0,6783.0,2772.0,0.0,109248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06N,2025/Q1,,48089.0,16317.0,387.0,1582.0,1426.0,0.0,28071.0,2119.0,61836.0,157.0,7169.0,54510.0,6874.0,0.0,0.0,109925.0,98008.0,13922.0,-468.0,20056.0,4442.0,392.0,2803.0,0.0,0.0,1179.0,36.0,7083.0,3101.0,0.0,109925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2009,,0.0,0.0,,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-BIT-STUDIOS,2010,,56.0,0.0,,2.0,,0.0,0.0,54.0,1296.0,457.0,71.0,732.0,732.0,36.0,0.0,1352.0,1268.0,187.0,0.0,1312.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,63.0,16.0,21.0,1352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
