Spółka,Rok,Data publikacji,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Skup akcji,Płatności z tytułu umów leasingu,Przepływy pieniężne razem,Free Cash Flow,Przepływy operacyjne razem
11-BIT-STUDIOS,2009,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,,,100.0,0.0,
11-BIT-STUDIOS,2010,,-705.0,61.0,-63.0,63.0,1399.0,1399.0,0.0,,,631.0,-768.0,
11-BIT-STUDIOS,2011,,351.0,57.0,-73.0,109.0,289.0,0.0,0.0,,,567.0,242.0,
11-BIT-STUDIOS,2012,,-713.0,118.0,-129.0,129.0,3008.0,0.0,0.0,0.0,,2166.0,-842.0,
11-BIT-STUDIOS,2013,,838.0,196.0,-648.0,689.0,86.0,0.0,0.0,0.0,,276.0,149.0,
11-BIT-STUDIOS,2014,,3791.0,287.0,-1131.0,1126.0,1243.0,0.0,0.0,0.0,,3903.0,2665.0,
11-BIT-STUDIOS,2015,,18679.0,2469.0,-2891.0,2891.0,328.0,0.0,0.0,0.0,,16116.0,15788.0,
11-BIT-STUDIOS,2016,,12661.0,2569.0,-5408.0,5408.0,-596.0,0.0,0.0,0.0,,6657.0,7253.0,
11-BIT-STUDIOS,2017,,8794.0,1714.0,-10034.0,7373.0,1029.0,591.0,0.0,0.0,,-211.0,1421.0,
11-BIT-STUDIOS,2018,,39046.0,4493.0,-55572.0,26572.0,12600.0,0.0,0.0,0.0,0.0,-3926.0,12474.0,
11-BIT-STUDIOS,2019,,41643.0,6424.0,-49342.0,14437.0,-1669.0,0.0,0.0,0.0,0.0,-9368.0,27206.0,
11-BIT-STUDIOS,2020,,37665.0,10265.0,-34425.0,29754.0,6012.0,7545.0,0.0,0.0,0.0,9252.0,7911.0,
