Nazwa,Ticker,Kwartały,Kurs,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny na akcję,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT
ATAL,1AT,2018/Q2,"34,20","20,20","1,69","5,34","6,41","28,01","1,22","6,99","4,89","16,25","2,10","38,29","1,37","5,45","5,47"
ATAL,1AT,2018/Q3,"32,00","21,29","1,50","5,30","6,04","28,34","1,13","6,93","4,62","17,26","1,85","38,73","1,37","5,56","5,59"
ATAL,1AT,2018/Q4,"28,00","22,17","1,26","5,18","5,40","27,25","1,03","6,71","4,18","18,37","1,52","36,60","1,34","5,43","5,46"
ATAL,1AT,2019/Q1,"40,00","23,34","1,71","4,88","8,19","25,53","1,57","6,33","6,32","19,70","2,03","52,56","2,06","8,25","8,31"
ATAL,1AT,2019/Q2,"37,00","18,93","1,95","3,43","10,79","19,83","1,87","4,41","8,39","15,34","2,41","52,28","2,64","11,73","11,85"
ATAL,1AT,2019/Q3,"35,00","19,21","1,82","2,65","13,23","15,38","2,28","3,44","10,19","15,62","2,24","57,53","3,74","16,52","16,74"
ATAL,1AT,2019/Q4,"38,00","20,38","1,87","2,93","12,95","18,60","2,04","3,77","10,09","16,42","2,31","58,68","3,15","15,32","15,57"
ATAL,1AT,2020/Q1,"26,10","20,95","1,25","2,34","11,15","17,35","1,50","2,98","8,76","17,07","1,53","48,42","2,79","15,90","16,25"
ATAL,1AT,2020/Q2,"31,20","21,70","1,44","2,76","11,31","21,32","1,46","3,50","8,92","16,71","1,87","56,55","2,65","15,86","16,16"
ATAL,1AT,2020/Q3,"32,50","22,50","1,44","3,29","9,87","25,12","1,29","4,19","7,76","17,51","1,86","57,92","2,31","13,61","13,83"
ATAL,1AT,2020/Q4,"32,50","24,59","1,32","4,32","7,51","30,15","1,08","5,39","6,03","19,78","1,64","53,45","1,77","9,82","9,92"
ATAL,1AT,2021/Q1,"40,90","25,95","1,58","5,00","8,18","32,78","1,25","6,12","6,68","21,15","1,93","60,02","1,83","9,71","9,80"
ATAL,1AT,2021/Q2,"52,00","24,67","2,11","6,01","8,66","35,21","1,48","7,38","7,05","19,85","2,62","67,63","1,92","9,09","9,17"
ATAL,1AT,2021/Q3,"49,10","26,57","1,85","7,10","6,92","39,44","1,25","8,71","5,64","21,81","2,25","63,56","1,61","7,24","7,30"
