Nazwa,Ticker,Kwartały,Kurs,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny na akcję,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT
BBIDEV,BBD,2020/Q4,"3,70","12,97","0,29","0,36","10,25","8,29","0,45","0,18","20,12","-5,62",,"10,15","1,22","36,00","55,21"
BBIDEV,BBD,2021/Q1,"4,00","12,83","0,31","0,00","849,10","4,66","0,86","0,10","41,80","-7,18",,"10,77","2,31","55,57","112,57"
BBIDEV,BBD,2021/Q2,"5,96","12,66","0,47","-0,84",,"3,46","1,72","-0,40",,"-6,54",,"12,74","3,68","-41,98","-31,60"
BBIDEV,BBD,2021/Q3,"6,22","12,42","0,50","-1,11",,"3,00","2,08","-0,81",,"-6,53",,"12,86","4,29","-18,05","-15,87"
BBIDEV,BBD,2021/Q4,"5,06","12,34","0,41","-0,63",,"2,05","2,47","-0,16",,"-1,48",,"11,41","5,56","-220,66","-73,05"
BBIDEV,BBD,2022/Q1,"5,20","12,15","0,43","-0,68",,"1,04","5,01","-0,42",,"-1,37",,"11,18","10,77","-32,70","-26,50"
BBIDEV,BBD,2022/Q2,"4,56","11,80","0,39","-0,86",,"0,92","4,96","-0,45",,"-6,44",,"10,96","11,92","-27,71","-24,39"
BBIDEV,BBD,2022/Q3,"5,22","11,84","0,44","-0,57",,"1,67","3,13","0,17","31,10","-6,33",,"10,86","6,52","54,63","64,69"
BBIDEV,BBD,2022/Q4,"3,83","11,46","0,33","-0,93",,"1,61","2,39","-0,20",,"-4,51",,"9,48","5,90","-47,67","-47,67"
BBIDEV,BBD,2023/Q1,"4,15","11,40","0,36","-0,79",,"1,69","2,46","0,23","18,10","-4,81",,"8,96","5,31","39,08","39,08"
BBIDEV,BBD,2023/Q2,"4,93","12,28","0,40","0,44","11,11","2,80","1,76","1,46","3,38","-4,48",,"10,34","3,69","7,09","7,09"
BBIDEV,BBD,2023/Q3,"4,85","14,31","0,34","2,43","2,00","2,21","2,19","3,14","1,54","-5,71",,"10,44","4,72","3,32","3,32"
BBIDEV,BBD,2023/Q4,"4,55","16,47","0,28","5,03","0,91","2,41","1,89","5,23","0,87","-7,90",,"10,31","4,28","1,97","1,97"
BBIDEV,BBD,2024/Q1,"4,24","15,99","0,27","4,60","0,92","2,45","1,73","4,73","0,90","-5,12",,"10,45","4,27","2,21","2,21"
BBIDEV,BBD,2024/Q2,"4,30","15,72","0,27","3,44","1,25","1,54","2,80","3,42","1,26","-5,48",,"10,76","7,01","3,15","3,15"
BBIDEV,BBD,2024/Q3,"4,02","15,59","0,26","1,28","3,13","1,53","2,63","1,23","3,26","-5,59",,"10,95","7,17","8,88","8,88"
BBIDEV,BBD,2024/Q4,"3,72","16,13","0,23","-0,33",,"1,37","2,71","0,03","144,99","-7,23",,"10,85","7,90","422,95","422,95"
BBIDEV,BBD,2025/Q1,"5,80","16,24","0,36","0,26","22,45","1,70","3,42","0,58","9,98","-6,64",,"13,11","7,72","22,55","22,55"
BOOMBIT,BBT,2015/Q4,"0,00","0,91",,"0,00",,"0,00",,"0,00",,"0,39",,,,,
BOOMBIT,BBT,2016/Q4,"0,00","1,25",,"0,74",,"1,76",,"0,93",,"0,54",,,,,
BOOMBIT,BBT,2017/Q4,"0,00","1,93",,"1,06",,"2,56",,"1,32",,"0,68",,,,,
BOOMBIT,BBT,2018/Q4,"0,00","2,90",,"0,75",,"3,13",,"0,88",,"-0,44",,,,,
BOOMBIT,BBT,2019/Q1,"0,00","2,89",,"-0,03",,"2,46",,"-0,07",,"-0,89",,,,,
BOOMBIT,BBT,2019/Q2,"17,70","4,37","4,05","-0,11",,"2,92","6,07","-0,10",,"0,69","25,54","16,88","5,79","87,31","-163,19"
BOOMBIT,BBT,2019/Q3,"14,45","4,32","3,35","-0,17",,"3,57","4,04","-0,20",,"0,40","35,85","13,86","3,88","79,72","-69,14"
BOOMBIT,BBT,2019/Q4,"6,41","3,80","1,69","-0,74",,"3,71","1,73","-0,82",,"0,23","28,31","6,15","1,66","-18,99","-7,52"
BOOMBIT,BBT,2020/Q1,"20,20","4,32","4,68","-0,22",,"5,91","3,42","-0,18",,"0,71","28,57","19,79","3,35","44,93","-107,30"
BOOMBIT,BBT,2020/Q2,"21,20","4,44","4,77","-0,01",,"7,28","2,91","0,06","382,40","0,96","22,17","20,38","2,80","25,29","367,52"
BOOMBIT,BBT,2020/Q3,"19,98","4,54","4,40","0,19","106,44","8,84","2,26","0,38","52,28","1,06","18,81","18,94","2,14","15,30","49,56"
BOOMBIT,BBT,2020/Q4,"17,00","4,83","3,52","0,93","18,21","10,45","1,63","0,72","23,60","1,43","11,90","15,47","1,48","9,32","21,49"
BOOMBIT,BBT,2021/Q1,"21,80","5,12","4,26","0,67","32,52","10,83","2,01","0,51","42,86","1,81","12,05","20,04","1,85","13,41","39,39"
BOOMBIT,BBT,2021/Q2,"24,75","5,29","4,68","0,77","32,04","13,68","1,81","0,84","29,48","2,00","12,35","22,69","1,66","12,35","27,03"
BOOMBIT,BBT,2021/Q3,"19,80","5,27","3,75","0,87","22,85","15,31","1,29","0,94","21,10","1,99","9,96","17,16","1,12","8,93","18,29"
BOOMBIT,BBT,2021/Q4,"20,25","5,65","3,58","0,99","20,41","17,81","1,14","1,67","12,16","2,33","8,68","17,82","1,00","6,83","10,69"
BOOMBIT,BBT,2022/Q1,"15,18","5,80","2,62","0,95","16,02","19,54","0,78","1,51","10,05","2,53","5,99","12,41","0,63","5,06","8,22"
BOOMBIT,BBT,2022/Q2,"10,54","5,43","1,94","0,86","12,27","20,26","0,52","1,17","9,02","2,23","4,72","7,77","0,38","3,70","6,65"
BOOMBIT,BBT,2022/Q3,"9,94","5,71","1,74","1,00","9,96","21,44","0,46","1,29","7,73","2,26","4,40","8,18","0,38","3,70","6,37"
BOOMBIT,BBT,2022/Q4,"11,80","5,76","2,05","0,98","12,03","21,78","0,54","0,81","14,51","1,69","6,99","10,09","0,46","5,80","12,40"
BOOMBIT,BBT,2023/Q1,"13,94","5,95","2,34","0,98","14,16","21,66","0,64","0,65","21,35","1,43","9,75","10,55","0,49","6,82","16,15"
BOOMBIT,BBT,2023/Q2,"12,85","5,87","2,19","1,54","8,34","20,25","0,63","0,42","30,36","0,46","27,77","9,46","0,47","7,39","22,36"
BOOMBIT,BBT,2023/Q3,"11,20","6,13","1,83","1,43","7,81","18,90","0,59","0,14","79,98","0,39","28,76","8,24","0,44","8,26","58,86"
BOOMBIT,BBT,2023/Q4,"10,95","5,54","1,98","1,17","9,38","18,13","0,60","0,29","37,76","0,24","45,47","8,69","0,48","7,45","29,98"
BOOMBIT,BBT,2024/Q1,"10,85","5,66","1,92","1,11","9,77","17,77","0,61","0,45","24,27","-0,22",,"8,78","0,49","6,32","19,64"
BOOMBIT,BBT,2024/Q2,"10,55","5,75","1,84","0,93","11,32","16,88","0,63","1,07","9,87","-0,37",,"9,11","0,54","4,31","8,52"
BOOMBIT,BBT,2024/Q3,"10,35","5,97","1,73","0,93","11,19","16,84","0,61","1,18","8,80","-0,38",,"9,41","0,56","4,08","8,01"
BOOMBIT,BBT,2024/Q4,"7,96","5,40","1,47","0,37","21,58","16,48","0,48","0,94","8,47","0,03","229,06","6,93","0,42","3,19","7,38"
BOOMBIT,BBT,2025/Q1,"7,70","5,40","1,43","0,26","30,16","15,74","0,49","0,75","10,26","-0,23",,"6,79","0,43","3,28","9,05"
BETACOM,BCM,2004/Q4,"8,08","5,31","1,52","0,73","11,03","21,98","0,37","0,83","9,73","4,71","1,72","6,33","0,29","6,04","7,63"
BETACOM,BCM,2005/Q4,"14,75","5,34","2,76","0,27","53,98","28,73","0,51","0,36","40,76","4,17","3,54","13,46","0,47","19,35","37,20"
BETACOM,BCM,2006/Q1,"8,35","5,02","1,66","-0,12",,"26,81","0,31","-0,03",,"3,59","2,32","7,91","0,30","23,26","-273,16"
BETACOM,BCM,2006/Q2,"11,65","4,83","2,41","-0,08",,"23,62","0,49","-0,02",,"3,65","3,19","10,36","0,44","27,33","-516,49"
BETACOM,BCM,2006/Q3,"9,10","5,40","1,69","-0,03",,"23,37","0,39","0,00","4 084,89","3,74","2,43","7,92","0,34","17,28","3 554,00"
BETACOM,BCM,2006/Q4,"10,00","5,45","1,84","0,37","26,95","21,05","0,48","0,50","19,83","3,61","2,77","8,96","0,43","8,95","17,77"
BETACOM,BCM,2007/Q1,"11,00","5,55","1,98","0,79","13,85","26,42","0,42","0,92","11,90","3,83","2,87","6,37","0,24","4,33","6,89"
BETACOM,BCM,2007/Q2,"10,70","5,22","2,05","0,58","18,58","29,85","0,36","0,77","13,81","3,68","2,91","10,07","0,34","7,35","12,99"
BETACOM,BCM,2007/Q3,"8,30","5,50","1,51","0,38","21,73","30,58","0,27","0,49","17,09","4,40","1,89","8,67","0,28","7,84","17,84"
BETACOM,BCM,2007/Q4,"6,39","5,75","1,11","0,57","11,15","35,61","0,18","0,80","8,02","4,57","1,40","6,30","0,18","4,40","7,92"
BETACOM,BCM,2008/Q1,"6,73","6,02","1,12","0,74","9,06","49,06","0,14","1,11","6,05","5,41","1,24","3,71","0,08","2,12","3,34"
BETACOM,BCM,2008/Q2,"5,99","5,67","1,06","0,69","8,65","46,67","0,13","1,04","5,75","5,16","1,16","5,67","0,12","3,36","5,45"
BETACOM,BCM,2008/Q3,"4,08","5,74","0,71","0,44","9,30","45,07","0,09","0,74","5,51","5,24","0,78","3,21","0,07","2,30","4,34"
BETACOM,BCM,2008/Q4,"3,72","5,67","0,66","0,13","27,64","39,78","0,09","0,33","11,13","5,03","0,74","2,95","0,07","2,93","8,83"
BETACOM,BCM,2009/Q1,"3,61","5,19","0,70","-0,63",,"19,45","0,19","-0,55",,"4,39","0,82","2,42","0,12","15,89","-4,38"
BETACOM,BCM,2009/Q2,"4,60","4,90","0,94","-0,60",,"17,38","0,26","-0,75",,"3,92","1,17","3,96","0,23","-175,58","-5,29"
BETACOM,BCM,2009/Q3,"4,08","5,22","0,78","-0,40",,"18,03","0,23","-0,31",,"4,69","0,87","2,99","0,17","7,00","-9,65"
BETACOM,BCM,2009/Q4,"4,84","4,82","1,00","-0,73",,"17,19","0,28","-0,60",,"3,85","1,26","4,02","0,23","37,37","-6,66"
BETACOM,BCM,2010/Q1,"4,40","4,73","0,93","-0,33",,"18,79","0,23","-0,31",,"3,75","1,17","3,84","0,20","10,33","-12,44"
BETACOM,BCM,2010/Q2,"4,68","4,32","1,08","-0,57",,"19,53","0,24","-0,39",,"2,75","1,70","3,61","0,19","13,18","-9,21"
BETACOM,BCM,2010/Q3,"3,75","4,50","0,83","-0,72",,"22,88","0,16","-0,69",,"3,70","1,01","2,58","0,11","-86,23","-3,74"
BETACOM,BCM,2010/Q4,"3,32","4,14","0,80","-0,69",,"23,49","0,14","-0,77",,"3,10","1,07","3,38","0,14","-33,77","-4,40"
BETACOM,BCM,2011/Q1,"3,00","4,24","0,71","-0,49",,"23,00","0,13","-0,47",,"3,38","0,89","2,70","0,12","14,09","-5,71"
BETACOM,BCM,2011/Q2,"2,32","4,27","0,54","-0,05",,"23,23","0,10","0,08","28,09","2,97","0,78","1,73","0,07","2,42","20,96"
BETACOM,BCM,2011/Q3,"2,96","4,64","0,64","0,13","22,19","20,07","0,15","0,32","9,21","4,11","0,72","1,14","0,06","1,21","3,56"
BETACOM,BCM,2011/Q4,"3,41","4,54","0,75","0,40","8,47","20,13","0,17","0,60","5,70","3,63","0,94","2,78","0,14","2,46","4,64"
BETACOM,BCM,2012/Q1,"3,41","4,62","0,74","0,38","9,03","19,73","0,17","0,57","5,94","3,76","0,91","2,66","0,13","2,47","4,62"
BETACOM,BCM,2012/Q2,"3,14","4,26","0,74","0,28","11,02","18,76","0,17","0,36","8,60","3,07","1,02","2,29","0,12","2,65","6,30"
BETACOM,BCM,2012/Q3,"2,70","4,42","0,61","0,08","32,08","16,06","0,17","0,11","25,61","3,46","0,78","1,75","0,11","2,99","16,60"
BETACOM,BCM,2012/Q4,"2,55","4,66","0,55","0,42","6,05","19,35","0,13","0,53","4,84","3,81","0,67","1,26","0,07","1,16","2,39"
BETACOM,BCM,2013/Q1,"3,12","4,70","0,66","0,37","8,33","19,44","0,16","0,46","6,85","3,99","0,78","3,18","0,16","3,12","6,98"
BETACOM,BCM,2013/Q2,"3,79","4,58","0,83","0,68","5,58","27,55","0,14","0,83","4,57","4,10","0,92","2,24","0,08","1,61","2,71"
BETACOM,BCM,2013/Q3,"4,65","4,88","0,95","0,81","5,74","30,08","0,15","0,99","4,70","5,77","0,81","2,32","0,08","1,50","2,34"
BETACOM,BCM,2013/Q4,"6,74","4,90","1,37","0,59","11,39","26,71","0,25","0,69","9,82","5,90","1,14","4,78","0,18","3,86","6,96"
BETACOM,BCM,2014/Q1,"7,43","4,96","1,50","0,61","12,21","27,73","0,27","0,69","10,74","5,54","1,34","6,03","0,22","4,85","8,72"
BETACOM,BCM,2014/Q2,"6,62","4,61","1,44","0,52","12,62","22,83","0,29","0,60","11,07","5,29","1,25","5,40","0,24","4,68","9,02"
BETACOM,BCM,2014/Q3,"5,45","4,95","1,10","0,57","9,61","22,23","0,25","0,63","8,59","6,38","0,85","3,99","0,18","3,33","6,29"
BETACOM,BCM,2014/Q4,"5,50","4,82","1,14","0,42","13,05","23,22","0,24","0,48","11,54","5,92","0,93","5,37","0,23","5,24","11,27"
BETACOM,BCM,2015/Q1,"5,74","4,90","1,17","0,45","12,82","24,09","0,24","0,52","11,08","6,17","0,93","4,38","0,18","4,07","8,47"
BETACOM,BCM,2015/Q2,"5,45","4,67","1,17","0,43","12,58","23,09","0,24","0,48","11,46","5,60","0,97","4,10","0,18","4,02","8,63"
BETACOM,BCM,2015/Q3,"4,25","4,94","0,86","0,36","11,71","26,65","0,16","0,43","9,82","5,85","0,73","-0,23","-0,01","-0,24","-0,53"
BETACOM,BCM,2015/Q4,"4,41","4,90","0,90","0,45","9,76","26,02","0,17","0,54","8,15","5,42","0,81","4,68","0,18","4,28","8,65"
BETACOM,BCM,2016/Q1,"4,99","4,92","1,01","0,40","12,60","28,55","0,17","0,48","10,34","7,26","0,69","3,14","0,11","3,02","6,50"
BETACOM,BCM,2016/Q2,"5,30","4,66","1,14","0,40","13,35","32,42","0,16","0,56","9,45","5,94","0,89","4,03","0,12","3,52","7,18"
BETACOM,BCM,2016/Q3,"6,00","4,90","1,22","0,37","16,39","31,65","0,19","0,45","13,33","8,67","0,69","2,87","0,09","2,79","6,37"
BETACOM,BCM,2016/Q4,"6,10","4,61","1,32","0,11","57,71","30,58","0,20","0,15","41,35","6,69","0,91","6,23","0,20","9,38","42,20"
BETACOM,BCM,2017/Q1,"5,20","4,68","1,11","0,16","32,57","31,28","0,17","0,23","23,01","6,58","0,79","4,64","0,15","6,86","20,54"
BETACOM,BCM,2017/Q2,"5,85","4,79","1,22","0,15","39,89","32,57","0,18","0,16","37,72","6,25","0,94","4,80","0,15","8,78","31,00"
BETACOM,BCM,2017/Q3,"5,70","5,08","1,12","0,21","27,72","34,09","0,17","0,26","21,62","8,67","0,66","2,17","0,06","3,51","8,23"
BETACOM,BCM,2017/Q4,"5,75","5,21","1,10","0,63","9,08","39,06","0,15","0,81","7,14","6,88","0,84","4,48","0,11","3,83","5,57"
BETACOM,BCM,2018/Q1,"7,40","5,21","1,42","0,55","13,47","37,27","0,20","0,69","10,65","5,37","1,38","6,79","0,18","6,29","9,77"
BETACOM,BCM,2018/Q2,"7,25","4,75","1,52","0,34","21,04","35,30","0,21","0,49","14,86","4,31","1,68","5,18","0,15","5,85","10,61"
BETACOM,BCM,2018/Q3,"6,95","4,85","1,43","0,15","47,51","30,28","0,23","0,24","28,42","3,78","1,84","4,72","0,16","7,27","19,28"
BETACOM,BCM,2018/Q4,"5,65","5,12","1,10","0,28","20,18","26,42","0,21","0,41","13,78","3,56","1,59","4,68","0,18","5,78","11,43"
BETACOM,BCM,2019/Q1,"5,21","5,13","1,02","0,29","17,70","25,03","0,21","0,44","11,90","3,35","1,56","4,09","0,16","4,86","9,35"
BETACOM,BCM,2019/Q2,"4,75","4,81","0,99","0,21","22,95","22,77","0,21","0,29","16,56","2,85","1,67","3,43","0,15","4,92","11,96"
BETACOM,BCM,2019/Q3,"4,63","4,74","0,98","0,04","116,78","23,53","0,20","0,10","45,80","7,37","0,63","3,73","0,16","7,05","36,97"
BETACOM,BCM,2019/Q4,"3,98","5,09","0,78","0,12","33,64","23,66","0,17","0,14","28,71","3,26","1,22","2,69","0,11","4,86","19,44"
BETACOM,BCM,2020/Q1,"4,62","5,26","0,88","0,28","16,34","24,13","0,19","0,35","13,33","3,50","1,32","3,16","0,13","4,22","9,13"
BETACOM,BCM,2020/Q2,"5,50","5,17","1,06","0,36","15,48","22,50","0,24","0,44","12,50","3,61","1,52","2,12","0,09","2,51","4,81"
BETACOM,BCM,2020/Q3,"4,71","5,28","0,89","0,53","8,83","24,51","0,19","0,64","7,32","4,11","1,14","1,05","0,04","1,01","1,63"
BETACOM,BCM,2020/Q4,"5,20","4,38","1,19","-0,71",,"24,76","0,21","-0,72",,"3,44","1,51","3,02","0,12","-10,36","-4,19"
BETACOM,BCM,2021/Q1,"4,73","4,53","1,04","-0,71",,"25,33","0,19","-0,82",,"1,87","2,53","3,55","0,14","-10,74","-4,32"
BETACOM,BCM,2021/Q2,"4,00","4,66","0,86","-0,49",,"29,06","0,14","-0,54",,"2,17","1,84","2,90","0,10","-780,07","-5,39"
BETACOM,BCM,2021/Q3,"3,20","4,80","0,67","-0,57",,"28,46","0,11","-0,58",,"1,97","1,62","1,66","0,06","18,45","-2,87"
BETACOM,BCM,2021/Q4,"4,25","4,77","0,89","0,41","10,34","31,84","0,13","0,34","12,44","1,28","3,32","3,72","0,12","3,28","10,88"
BETACOM,BCM,2022/Q1,"3,70","4,83","0,77","0,30","12,33","32,74","0,11","0,22","16,59","1,61","2,29","2,77","0,08","2,54","12,41"
BETACOM,BCM,2022/Q2,"3,60","4,39","0,82","-0,09",,"31,42","0,11","-0,36",,"1,40","2,58","2,00","0,06","3,37","-5,51"
BETACOM,BCM,2022/Q3,"3,33","4,62","0,72","0,11","31,02","37,45","0,09","-0,20",,"1,44","2,32","0,67","0,02","0,86","-3,27"
BETACOM,BCM,2022/Q4,"4,03","4,61","0,87","0,02","254,08","36,09","0,11","-0,12",,"1,36","2,95","2,00","0,06","2,32","-17,31"
BETACOM,BCM,2023/Q1,"5,30","4,58","1,16","0,16","33,46","40,17","0,13","0,14","36,66","1,75","3,02","3,47","0,09","3,08","24,03"
BETACOM,BCM,2023/Q2,"4,80","4,68","1,03","0,54","8,81","41,80","0,11","0,70","6,82","1,48","3,24","3,62","0,09","2,18","5,14"
BETACOM,BCM,2023/Q3,"4,74","4,90","0,97","0,52","9,08","42,99","0,11","0,76","6,27","1,70","2,79","1,67","0,04","1,00","2,20"
BETACOM,BCM,2023/Q4,"6,05","4,76","1,27","0,38","16,09","43,80","0,14","0,51","11,83","1,40","4,33","5,14","0,12","3,66","10,05"
BETACOM,BCM,2024/Q1,"6,00","4,87","1,23","0,29","20,99","44,05","0,14","0,31","19,07","1,45","4,13","4,99","0,11","4,28","15,86"
BETACOM,BCM,2024/Q2,"4,40","4,77","0,92","0,37","11,95","45,84","0,10","0,41","10,83","1,15","3,81","4,03","0,09","3,10","9,91"
BETACOM,BCM,2024/Q3,"4,12","5,04","0,82","0,43","9,59","44,48","0,09","0,41","10,11","1,63","2,53","1,90","0,04","1,47","4,67"
BETACOM,BCM,2024/Q4,"4,10","4,96","0,83","0,39","10,58","47,17","0,09","0,48","8,60","0,52","7,86","0,26","0,01","0,18","0,54"
BIGCHEESE,BCS,2018/Q4,"0,00","0,24",,"0,00",,"0,01",,"0,00",,"0,24",,,,,
BIGCHEESE,BCS,2019/Q4,"0,00","1,50",,"1,26",,"1,87",,"1,35",,"1,50",,,,,
BIGCHEESE,BCS,2020/Q4,"0,00","2,48",,"2,06",,"2,86",,"2,18",,"2,47",,,,,
BIGCHEESE,BCS,2021/Q4,"35,98","5,03","7,16","3,00","11,99","4,49","8,01","3,13","11,50","4,64","7,76","33,05","7,36","10,49","10,56"
BIGCHEESE,BCS,2022/Q1,"36,49","6,03","6,05","3,31","11,02","4,88","7,47","3,45","10,58","5,57","6,55","32,65","6,69","9,35","9,46"
BIGCHEESE,BCS,2022/Q2,"38,60","6,73","5,74","3,49","11,05","5,68","6,80","3,62","10,67","6,40","6,04","34,36","6,05","9,34","9,50"
BIGCHEESE,BCS,2022/Q3,"38,00","6,43","5,91","4,40","8,65","6,40","5,94","4,42","8,59","5,69","6,68","34,37","5,37","7,63","7,77"
BIGCHEESE,BCS,2022/Q4,"47,00","7,15","6,57","4,05","11,61","6,24","7,54","4,11","11,43","6,83","6,88","43,77","7,02","10,42","10,64"
BIGCHEESE,BCS,2023/Q1,"48,80","7,61","6,42","3,38","14,42","5,90","8,26","3,49","13,98","7,29","6,70","44,58","7,55","12,46","12,77"
BIGCHEESE,BCS,2023/Q2,"47,00","5,09","9,23","2,85","16,52","5,57","8,44","2,98","15,75","4,78","9,83","42,97","7,72","13,85","14,40"
BIGCHEESE,BCS,2023/Q3,"31,00","5,05","6,13","1,16","26,68","4,56","6,81","1,24","24,95","4,67","6,64","29,34","6,44","21,50","23,61"
BIGCHEESE,BCS,2023/Q4,"23,50","4,93","4,77","0,57","40,91","4,02","5,84","0,67","34,89","4,56","5,15","21,32","5,30","26,94","31,65"
BIGCHEESE,BCS,2024/Q1,"18,60","5,71","3,26","0,90","20,66","4,26","4,36","0,97","19,16","5,36","3,47","16,16","3,79","14,80","16,64"
BIGCHEESE,BCS,2024/Q2,"22,75","4,57","4,98","1,12","20,30","4,02","5,66","1,10","20,73","4,25","5,36","19,98","4,98","16,67","18,20"
BIGCHEESE,BCS,2024/Q3,"14,42","4,73","3,05","1,32","10,92","3,74","3,86","1,51","9,56","4,43","3,25","12,94","3,46","8,03","8,58"
BIGCHEESE,BCS,2024/Q4,"12,50","5,07","2,47","1,66","7,54","3,73","3,35","1,71","7,29","4,77","2,62","11,03","2,96","6,07","6,44"
BIGCHEESE,BCS,2025/Q1,"13,04","5,14","2,54","0,95","13,70","3,12","4,18","1,05","12,42","4,78","2,73","11,74","3,76","10,20","11,17"
BIOCELTIX,BCX,2019/Q4,"0,00","0,82",,"-0,68",,"0,00",,"-0,67",,"0,51",,,,,
BIOCELTIX,BCX,2020/Q4,"0,00","1,12",,"-0,90",,"0,00",,"-0,90",,"1,08",,,,,
BIOCELTIX,BCX,2021/Q2,"0,00","2,58",,"-0,91",,"0,02",,"-0,90",,"2,38",,,,,
BIOCELTIX,BCX,2021/Q3,"0,00","2,27",,"-1,07",,"0,02",,"-1,03",,"2,11",,,,,
BIOCELTIX,BCX,2021/Q4,"52,20","1,83","28,60","-1,34",,"0,00",,"-1,32",,"1,66","31,38","50,52",,"-41,91","-38,27"
BIOCELTIX,BCX,2022/Q1,"41,40","1,39","29,83","-1,58",,"0,00",,"-1,60",,"1,22","33,82","40,09",,"-27,17","-25,07"
BIOCELTIX,BCX,2022/Q2,"34,40","0,82","41,85","-1,78",,"-0,02",,"-1,77",,"0,62","55,59","33,69",,"-20,69","-19,06"
BIOCELTIX,BCX,2022/Q3,"34,00","1,05","32,45","-2,25",,"-0,02",,"-2,26",,"0,88","38,79","32,95",,"-15,52","-14,55"
BIOCELTIX,BCX,2022/Q4,"38,80","1,02","38,16","-2,60",,"0,00",,"-2,60",,"0,76","50,81","37,68",,"-15,28","-14,51"
BIOCELTIX,BCX,2023/Q1,"52,00","0,70","73,89","-2,83",,"0,00",,"-2,81",,"0,44","117,43","51,50",,"-19,16","-18,32"
BIOCELTIX,BCX,2023/Q2,"68,20","4,46","15,29","-3,02",,"0,00",,"-3,02",,"4,11","16,61","64,04",,"-22,04","-21,24"
BIOCELTIX,BCX,2023/Q3,"61,40","3,45","17,82","-3,08",,"0,00",,"-3,12",,"3,10","19,83","57,92",,"-19,18","-18,54"
BIOCELTIX,BCX,2023/Q4,"90,00","2,53","35,51","-3,31",,"0,00",,"-3,39",,"2,24","40,19","87,79",,"-26,69","-25,87"
BIOCELTIX,BCX,2024/Q1,"82,00","1,52","54,07","-3,70",,"0,00",,"-3,78",,"1,19","68,80","80,33",,"-21,85","-21,23"
BIOCELTIX,BCX,2024/Q2,"63,80","9,12","7,00","-3,19",,"0,00",,"-3,24",,"8,84","7,21","59,74",,"-18,95","-18,42"
BIOCELTIX,BCX,2024/Q3,"67,60","8,41","8,03","-3,18",,"0,00",,"-3,19",,"7,93","8,52","59,88",,"-19,35","-18,75"
BIOCELTIX,BCX,2024/Q4,"87,60","7,80","11,23","-3,03",,"0,00",,"-3,05",,"7,38","11,86","80,80",,"-27,52","-26,47"
BIOCELTIX,BCX,2025/Q1,"98,40","7,03","14,00","-2,94",,"0,00",,"-2,98",,"6,49","15,16","91,82",,"-32,29","-30,86"
BUDIMEX,BDX,2004/Q4,"42,10","20,38","2,07","0,33","128,54","84,24","0,50","-4,74",,"4,47","9,41","30,79","0,37","-8,28","-6,50"
BUDIMEX,BDX,2005/Q4,"38,50","20,36","1,89","0,08","484,19","105,87","0,36","-1,97",,"7,02","5,49","24,10","0,23","-21,04","-12,20"
BUDIMEX,BDX,2006/Q1,"46,20","20,44","2,26","0,11","423,21","108,94","0,42","-1,28",,"6,72","6,88","38,87","0,36","-82,22","-30,29"
BUDIMEX,BDX,2006/Q2,"55,70","20,57","2,71","0,18","313,22","112,99","0,49","-0,39",,"6,83","8,16","52,39","0,46","138,64","-135,27"
BUDIMEX,BDX,2006/Q3,"76,00","20,53","3,70","0,13","565,02","114,20","0,67","-1,13",,"6,63","11,46","72,08","0,63","-211,33","-63,90"
BUDIMEX,BDX,2006/Q4,"75,00","20,50","3,66","0,15","491,72","119,20","0,63","-0,51",,"6,74","11,13","62,13","0,52","197,27","-120,67"
BUDIMEX,BDX,2007/Q1,"101,50","20,46","4,96","0,07","1 460,71","125,95","0,81","-0,96",,"6,46","15,72","92,24","0,73","-720,40","-95,66"
BUDIMEX,BDX,2007/Q2,"125,00","20,29","6,16","-0,12",,"126,46","0,99","-1,55",,"2,49","50,26","125,95","1,00","-180,42","-81,30"
BUDIMEX,BDX,2007/Q3,"71,00","20,36","3,49","-0,07",,"126,64","0,56","-0,75",,"1,89","37,53","72,61","0,57","637,50","-96,50"
BUDIMEX,BDX,2007/Q4,"92,00","21,00","4,38","0,59","155,89","120,48","0,76","1,10","83,76","2,38","38,68","82,81","0,69","40,93","75,39"
BUDIMEX,BDX,2008/Q1,"83,80","21,61","3,88","1,27","65,98","120,41","0,70","1,58","53,07","3,27","25,65","81,49","0,68","32,93","51,61"
BUDIMEX,BDX,2008/Q2,"75,10","22,61","3,32","2,49","30,14","122,53","0,61","2,97","25,25","3,90","19,27","70,60","0,58","18,33","23,73"
BUDIMEX,BDX,2008/Q3,"71,00","23,84","2,98","3,56","19,92","125,58","0,57","4,04","17,59","5,02","14,14","63,93","0,51","13,10","15,84"
BUDIMEX,BDX,2008/Q4,"51,10","22,00","2,32","3,67","13,92","128,25","0,40","4,23","12,09","3,87","13,21","37,98","0,30","7,45","8,98"
BUDIMEX,BDX,2009/Q1,"68,70","26,39","2,60","4,61","14,91","129,38","0,53","5,24","13,11","8,59","8,00","57,30","0,44","9,33","10,94"
BUDIMEX,BDX,2009/Q2,"72,00","19,15","3,76","4,89","14,72","129,45","0,56","5,67","12,69","1,63","44,26","58,49","0,45","8,86","10,31"
