Nazwa,Ticker,Wartość księgowa na akcję,Cena/WK,Zysk na akcję,Cena/Zysk,Przychody ze sprzedaży na akcję,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama na akcję,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa na akcję,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBITDA,Wartość przedsiębiorstwa/EBIT,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA
STAPORKOW,STAPORKOW,2.96,1.06,0.41,7.66,7.37,0.43,0.49,6.42,0.63,4.97,3.11,0.42,4.43,6.36,13.86,7.16,6.63,5.56,6.58,5.45,21.91,8.54,0.42,0.81,0.06,12.53,1.3,0.55,0.79,0.87,15428000,3.38,-201000.0,-0.04
SATIS,STS,-19.54,,-18.93,,0.0,,-18.92,,-19.54,,0.41,,-0.02,-0.02,96.87,-10310.26,,,,,,-10307.02,107.43,-1.01,-0.01,,,-105.67,107.43,,274265000,-1.04,2258000.0,-0.01
SUNEX,SUNEX,4.28,1.65,-0.83,,9.78,0.72,-0.72,,-3.79,,12.73,1.3,-217.36,-17.61,-19.44,-6.21,-7.39,-8.5,-7.95,-10.25,19.53,-5.4,0.68,2.13,0.8,1.6,0.96,0.58,1.71,0.91,201641000,-154.4,126723000.0,-97.03
SNTVERSE,SVE,1.71,2.7,0.1,44.15,1.01,4.59,0.17,27.22,-1.87,,5.69,5.65,18.26,33.54,6.12,2.48,16.85,10.39,14.98,13.93,63.16,4.02,0.6,1.47,1.11,1.81,1.01,0.85,3.92,1.87,177717000,8.06,75835000.0,3.44
SILVAIR-REGS,SVRS,1.86,1.63,-0.03,,0.72,4.22,0.01,296.19,-1.04,,3.84,5.33,8.98,373.84,-1.5,-0.88,1.43,-3.89,-1.1,-3.05,45.75,0.32,0.41,0.7,0.48,0.0,0.95,0.87,5.0,3.2,21551201,2.88,13973309.0,1.86
SYGNITY,SYGNITY,12.86,5.83,2.8,26.83,13.35,5.62,3.12,24.03,3.14,23.89,69.94,5.24,18.47,22.41,21.73,15.69,23.39,20.95,21.63,24.44,41.47,17.52,0.28,0.38,0.03,1.25,1.36,0.74,0.61,0.81,-19501000,-0.23,-115141000.0,-1.34
SYNEKTIK,SYNEKTIK,19.59,10.98,9.76,22.03,69.52,3.09,13.6,15.8,1.11,193.23,212.54,3.06,13.45,15.62,49.82,21.89,19.57,14.04,19.74,19.08,33.55,30.52,0.56,1.28,0.32,1.7,1.4,0.58,0.96,1.02,155266000,1.15,-21006000.0,-0.16
TALEX,TALEX,16.54,1.35,-0.11,,23.86,0.94,0.03,884.24,0.27,81.95,22.53,0.94,19.27,889.53,-0.67,-0.49,0.11,-0.46,-1.0,-0.42,24.55,0.11,0.17,0.24,0.06,19.5,1.06,0.78,0.93,0.85,9433000,2.69,402000.0,0.11
TARCZYNSKI,TARCZYNSKI,58.11,2.25,9.44,13.82,186.32,0.7,14.41,9.06,-73.53,,202.97,1.09,9.48,14.09,16.25,5.73,7.73,5.07,8.0,5.01,25.14,8.74,0.65,1.84,0.88,2.32,0.83,0.66,3.21,1.42,1192760000,4.91,822313000.0,3.38
TAURONPE,TAURON,10.74,0.46,0.68,7.32,20.38,0.24,1.95,2.53,-11.41,,12.96,0.64,3.92,6.64,6.29,2.43,9.58,3.32,9.04,7.29,13.22,7.03,0.61,1.58,0.88,2.18,0.91,0.73,3.04,1.47,27543000000,4.76,14038000000.0,2.43
TSGAMES,TEN,41.16,2.17,11.83,7.56,59.14,1.51,13.55,6.61,10.5,8.53,64.0,1.08,4.02,4.72,28.74,17.76,22.91,20.01,23.1,21.84,83.83,20.34,0.38,0.62,0.09,0.47,1.46,0.67,0.71,0.95,-27133000,-0.26,-165149000.0,-1.6
